,Longitude_first,Latitude_first,Longitude_last,Latitude_last,orig_points,dest_points,lines,distance_in_km
86,-130.2,10.6,-152.7,16.6,POINT (-130.2 10.6),POINT (-152.7 16.6),"LINESTRING (-130.2 10.6, -152.7 16.6)",2521.67
87,151.0,13.8,122.7,19.4,POINT (151 13.8),POINT (122.7 19.4),"LINESTRING (151 13.8, 122.7 19.4)",3078.8
88,161.4,12.5,178.8,47.2,POINT (161.4 12.5),POINT (178.8 47.2),"LINESTRING (161.4 12.5, 178.8 47.2)",4176.89
89,-117.0,10.2,-135.0,26.2,POINT (-117 10.2),POINT (-135 26.2),"LINESTRING (-117 10.2, -135 26.2)",2593.84
90,-94.0,13.4,-102.3,23.2,POINT (-94 13.4),POINT (-102.3 23.2),"LINESTRING (-94 13.4, -102.3 23.2)",1394.29
91,65.0,11.5,46.5,14.8,POINT (65 11.5),POINT (46.5 14.8),"LINESTRING (65 11.5, 46.5 14.8)",2037.95
92,66.0,14.1,46.5,13.6,POINT (66 14.1),POINT (46.5 13.6),"LINESTRING (66 14.1, 46.5 13.6)",2108.15
93,83.7,10.7,79.3,12.4,POINT (83.7 10.7),POINT (79.3 12.4),"LINESTRING (83.7 10.7, 79.3 12.4)",515.45
94,-71.5,22.2,-45.4,40.7,POINT (-71.5 22.2),POINT (-45.4 40.7),"LINESTRING (-71.5 22.2, -45.4 40.7)",3196.69
95,163.6,3.5,150.4,29.6,POINT (163.6 3.5),POINT (150.4 29.6),"LINESTRING (163.6 3.5, 150.4 29.6)",3207.13
96,-107.1,12.9,-126.0,20.2,POINT (-107.1 12.9),POINT (-126 20.2),"LINESTRING (-107.1 12.9, -126 20.2)",2170.77
97,80.4,-4.8,77.8,-23.5,POINT (80.4 -4.8),POINT (77.8 -23.5),"LINESTRING (80.4 -4.8, 77.8 -23.5)",2087.9
98,-100.5,10.9,-107.7,24.2,POINT (-100.5 10.9),POINT (-107.7 24.2),"LINESTRING (-100.5 10.9, -107.7 24.2)",1657.64
99,178.0,-10.2,-168.0,-18.3,POINT (178 -10.2),POINT (-168 -18.3),"LINESTRING (178 -10.2, -168 -18.3)",1755.16
100,78.6,-8.6,68.0,-30.4,POINT (78.6 -8.6),POINT (68 -30.4),"LINESTRING (78.6 -8.6, 68 -30.4)",2653.65
101,145.2,7.1,120.1,12.5,POINT (145.2 7.1),POINT (120.1 12.5),"LINESTRING (145.2 7.1, 120.1 12.5)",2815.93
